Tỉnh Cũ,Huyện Cũ,Xã Cũ,Tỉnh Mới,Huyện Mới,Xã Mới,Nghị Quyết,Ngày Hiệu Lực
Hà Nội,Ba Đình,Phúc Xá,Hà Nội,,Phường Hồng Hà,,
Hà Nội,Ba Đình,Trúc Bạch,Hà Nội,,Phường Ba Đình,,
Hà Nội,Ba Đình,Vĩnh Phúc,Hà Nội,,Phường Vĩnh Phúc,,
Hà Nội,Ba Đình,Cống Vị,Hà Nội,,Phường Ngọc Hà,,
Hà Nội,Ba Đình,Liễu Giai,Hà Nội,,Phường Ngọc Hà,,
Hà Nội,Ba Đình,Quán Thánh,Hà Nội,,Phường Ba Đình,,
Hà Nội,Ba Đình,Ngọc Hà,Hà Nội,,Phường Ngọc Hà,,
Hà Nội,Ba Đình,Điện Biên,Hà Nội,,Phường Điện Biên Phủ,,
Hà Nội,Ba Đình,Đội Cấn,Hà Nội,,#N/A,,
Hà Nội,Ba Đình,Ngọc Khánh,Hà Nội,,#N/A,,
Hà Nội,Ba Đình,Kim Mã,Hà Nội,,#N/A,,
Hà Nội,Ba Đình,Giảng Võ,Hà Nội,,Phường Giảng Võ,,
Hà Nội,Ba Đình,Thành Công,Hà Nội,,Xã Thành Công,,
Hà Nội,Hoàn Kiếm,Phúc Tân,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Đồng Xuân,Hà Nội,,Xã Đồng Xuân,,
Hà Nội,Hoàn Kiếm,Hàng Mã,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Buồm,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Đào,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Bồ,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Cửa Đông,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Lý Thái Tổ,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Bạc,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Gai,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Chương Dương,Hà Nội,,Xã Chương Dương,,
Hà Nội,Hoàn Kiếm,Hàng Trống,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Cửa Nam,Hà Nội,,Phường Cửa Nam,,
Hà Nội,Hoàn Kiếm,Hàng Bông,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Tràng Tiền,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Trần Hưng Đạo,Hà Nội,,Xã Trần Hưng Đạo,,
Hà Nội,Hoàn Kiếm,Phan Chu Trinh,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Bài,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Phú Thượng,Hà Nội,,Phường Phú Thượng,,
Hà Nội,Tây Hồ,Nhật Tân,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Tứ Liên,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Quảng An,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Xuân La,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Yên Phụ,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Bưởi,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Thụy Khuê,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Thượng Thanh,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Ngọc Thụy,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Giang Biên,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Đức Giang,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Việt Hưng,Hà Nội,,Phường Việt Hưng,,
Hà Nội,Long Biên,Gia Thụy,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Ngọc Lâm,Hà Nội,,Xã Ngọc Lâm,,
Hà Nội,Long Biên,Phúc Lợi,Hà Nội,,Phường Phúc Lợi,,
Hà Nội,Long Biên,Bồ Đề,Hà Nội,,Phường Bồ Đề,,
Hà Nội,Long Biên,Sài Đồng,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Long Biên,Hà Nội,,Phường Long Biên,,
Hà Nội,Long Biên,Thạch Bàn,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Phúc Đồng,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Cự Khối,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Nghĩa Đô,Hà Nội,,Phường Nghĩa Đô,,
Hà Nội,Cầu Giấy,Nghĩa Tân,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Mai Dịch,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Dịch Vọng,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Quan Hoa,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Yên Hoà,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Trung Hoà,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Cát Linh,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Văn Miếu,Hà Nội,,"Phường Văn Miếu - Quốc Tử
Giám",,
Hà Nội,Đống Đa,Quốc Tử Giám,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Láng Thượng,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Ô Chợ Dừa,Hà Nội,,Phường Ô Chợ Dừa,,
Hà Nội,Đống Đa,Văn Chương,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Hàng Bột,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Láng Hạ,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Khâm Thiên,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Thổ Quan,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Nam Đồng,Hà Nội,,Phường Nam Đồng,,
Hà Nội,Đống Đa,Trung Phụng,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Quang Trung,Hà Nội,,Xã Quang Trung,,
Hà Nội,Đống Đa,Trung Liệt,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Phương Liên,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Thịnh Quang,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Trung Tự,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Kim Liên,Hà Nội,,Phường Kim Liên,,
Hà Nội,Đống Đa,Phương Mai,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Ngã Tư Sở,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Khương Thượng,Hà Nội,,#N/A,,
Hà Nội,Hai Bà Trưng,Nguyễn Du,Hà Nội,,Xã Nguyễn Du,,
Hà Nội,Hai Bà Trưng,Bạch Đằng,Hà Nội,,Xã Bạch Đằng,,
Hà Nội,Hai Bà Trưng,Phạm Đình Hổ,Hà Nội,,#N/A,,
Hà Nội,Hai Bà Trưng,Lê Đại Hành,Hà Nội,,Phường Lê Đại Hành,,
Hà Nội,Hai Bà Trưng,Đồng Nhân,Hà Nội,,#N/A,,
Hà Nội,Hai Bà Trưng,Phố Huế,Hà Nội,,#N/A,,
Hà Nội,Hai Bà Trưng,Đống Mác,Hà Nội,,#N/A,,
Hà Nội,Hai Bà Trưng,Thanh Lương,Hà Nội,,#N/A,,
Hà Nội,Hai Bà Trưng,Thanh Nhàn,Hà Nội,,#N/A,,
Hà Nội,Hai Bà Trưng,Cầu Dền,Hà Nội,,#N/A,,
Hà Nội,Hai Bà Trưng,Bách Khoa,Hà Nội,,#N/A,,
Hà Nội,Hai Bà Trưng,Đồng Tâm,Hà Nội,,Xã Đồng Tâm,,
Hà Nội,Hai Bà Trưng,Vĩnh Tuy,Hà Nội,,Xã Vĩnh Tuy,,
Hà Nội,Hai Bà Trưng,Bạch Mai,Hà Nội,,Phường Bạch Mai,,
Hà Nội,Hai Bà Trưng,Quỳnh Mai,Hà Nội,,Phường Quỳnh Mai,,
Hà Nội,Hai Bà Trưng,Quỳnh Lôi,Hà Nội,,#N/A,,
Hà Nội,Hai Bà Trưng,Minh Khai,Hà Nội,,Xã Minh Khai,,
Hà Nội,Hai Bà Trưng,Trương Định,Hà Nội,,#N/A,,
Hà Nội,Hoàng Mai,Thanh Trì,Hà Nội,,Xã Thanh Trì,,
Hà Nội,Hoàng Mai,Vĩnh Hưng,Hà Nội,,Phường Vĩnh Hưng,,
Hà Nội,Hoàng Mai,Định Công,Hà Nội,,Xã Định Công,,
Hà Nội,Hoàng Mai,Mai Động,Hà Nội,,#N/A,,
Hà Nội,Hoàng Mai,Tương Mai,Hà Nội,,Phường Tương Mai,,
Hà Nội,Hoàng Mai,Đại Kim,Hà Nội,,#N/A,,
Hà Nội,Hoàng Mai,Tân Mai,Hà Nội,,Xã Tân Mai,,
Hà Nội,Hoàng Mai,Hoàng Văn Thụ,Hà Nội,,Xã Hoàng Văn Thụ,,
Hà Nội,Hoàng Mai,Giáp Bát,Hà Nội,,#N/A,,
Hà Nội,Hoàng Mai,Lĩnh Nam,Hà Nội,,Phường Lĩnh Nam,,
Hà Nội,Hoàng Mai,Thịnh Liệt,Hà Nội,,#N/A,,
Hà Nội,Hoàng Mai,Trần Phú,Hà Nội,,Xã Trần Phú,,
Hà Nội,Hoàng Mai,Hoàng Liệt,Hà Nội,,Phường Hoàng Liệt,,
Hà Nội,Hoàng Mai,Yên Sở,Hà Nội,,Phường Yên Sở,,
Hà Nội,Thanh Xuân,Nhân Chính,Hà Nội,,#N/A,,
Hà Nội,Thanh Xuân,Thượng Đình,Hà Nội,,#N/A,,
Hà Nội,Thanh Xuân,Khương Trung,Hà Nội,,#N/A,,
Hà Nội,Thanh Xuân,Khương Mai,Hà Nội,,#N/A,,
Hà Nội,Thanh Xuân,Thanh Xuân Trung,Hà Nội,,#N/A,,
Hà Nội,Thanh Xuân,Phương Liệt,Hà Nội,,Phường Phương Liệt,,
Hà Nội,Thanh Xuân,Hạ Đình,Hà Nội,,#N/A,,
Hà Nội,Thanh Xuân,Khương Đình,Hà Nội,,Phường Khương Đình,,
Hà Nội,Thanh Xuân,Thanh Xuân Bắc,Hà Nội,,#N/A,,
Hà Nội,Thanh Xuân,Thanh Xuân Nam,Hà Nội,,#N/A,,
Hà Nội,Thanh Xuân,Kim Giang,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Thị trấn Sóc Sơn,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Bắc Sơn,Hà Nội,,Xã Bắc Sơn,,
Hà Nội,Sóc Sơn,Minh Trí,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Hồng Kỳ,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Nam Sơn,Hà Nội,,Phường Nam Sơn,,
Hà Nội,Sóc Sơn,Trung Giã,Hà Nội,,Xã Trung Giã,,
Hà Nội,Sóc Sơn,Tân Hưng,Hà Nội,,Xã Tân Hưng,,
Hà Nội,Sóc Sơn,Minh Phú,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Phù Linh,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Bắc Phú,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Tân Minh,Hà Nội,,Xã Tân Minh,,
Hà Nội,Sóc Sơn,Quang Tiến,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Hiền Ninh,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Tân Dân,Hà Nội,,Phường Tân Dân,,
Hà Nội,Sóc Sơn,Tiên Dược,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Việt Long,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Xuân Giang,Hà Nội,,Xã Xuân Giang,,
Hà Nội,Sóc Sơn,Mai Đình,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Đức Hoà,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Thanh Xuân,Hà Nội,,Phường Thanh Xuân,,
Hà Nội,Sóc Sơn,Đông Xuân,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Kim Lũ,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Phú Cường,Hà Nội,,Xã Phú Cường,,
Hà Nội,Sóc Sơn,Phú Minh,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Phù Lỗ,Hà Nội,,#N/A,,
Hà Nội,Sóc Sơn,Xuân Thu,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Thị trấn Đông Anh,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Xuân Nộn,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Thuỵ Lâm,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Bắc Hồng,Hà Nội,,Phường Bắc Hồng Lĩnh,,
Hà Nội,Đông Anh,Nguyên Khê,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Nam Hồng,Hà Nội,,Phường Nam Hồng Lĩnh,,
Hà Nội,Đông Anh,Tiên Dương,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Vân Hà,Hà Nội,,Xã Vân Hà,,
Hà Nội,Đông Anh,Uy Nỗ,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Vân Nội,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Liên Hà,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Việt Hùng,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Kim Nỗ,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Kim Chung,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Dục Tú,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Đại Mạch,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Vĩnh Ngọc,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Cổ Loa,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Hải Bối,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Xuân Canh,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Võng La,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Tàm Xá,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Mai Lâm,Hà Nội,,#N/A,,
Hà Nội,Đông Anh,Đông Hội,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Thị trấn Yên Viên,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Yên Thường,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Yên Viên,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Ninh Hiệp,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Đình Xuyên,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Dương Hà,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Phù Đổng,Hà Nội,,Xã Phù Đổng,,
Hà Nội,Gia Lâm,Trung Mầu,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Lệ Chi,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Cổ Bi,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Đặng Xá,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Phú Thị,Hà Nội,,Xã Phú Thịnh,,
Hà Nội,Gia Lâm,Kim Sơn,Hà Nội,,Xã Kim Sơn,,
Hà Nội,Gia Lâm,Thị trấn Trâu Quỳ,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Dương Quang,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Dương Xá,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Đông Dư,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Đa Tốn,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Kiêu Kỵ,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Bát Tràng,Hà Nội,,Xã Bát Tràng,,
Hà Nội,Gia Lâm,Kim Lan,Hà Nội,,#N/A,,
Hà Nội,Gia Lâm,Văn Đức,Hà Nội,,#N/A,,
Hà Nội,Nam Từ Liêm,Cầu Diễn,Hà Nội,,#N/A,,
Hà Nội,Nam Từ Liêm,Xuân Phương,Hà Nội,,Phường Xuân Phương,,
Hà Nội,Nam Từ Liêm,Phương Canh,Hà Nội,,#N/A,,
Hà Nội,Nam Từ Liêm,Mỹ Đình 1,Hà Nội,,#N/A,,
Hà Nội,Nam Từ Liêm,Mỹ Đình 2,Hà Nội,,#N/A,,
Hà Nội,Nam Từ Liêm,Tây Mỗ,Hà Nội,,Phường Tây Mỗ,,
Hà Nội,Nam Từ Liêm,Mễ Trì,Hà Nội,,#N/A,,
Hà Nội,Nam Từ Liêm,Phú Đô,Hà Nội,,Xã Tân Phú Đông,,
Hà Nội,Nam Từ Liêm,Đại Mỗ,Hà Nội,,Phường Đại Mỗ,,
Hà Nội,Nam Từ Liêm,Trung Văn,Hà Nội,,#N/A,,
Hà Nội,Thanh Trì,Thị trấn Văn Điển,Hà Nội,,#N/A,,
Hà Nội,Thanh Trì,Tân Triều,Hà Nội,,Xã Tân Triều,,
Hà Nội,Thanh Trì,Thanh Liệt,Hà Nội,,Xã Thanh Liệt,,
Hà Nội,Thanh Trì,Tả Thanh Oai,Hà Nội,,#N/A,,
Hà Nội,Thanh Trì,Hữu Hoà,Hà Nội,,#N/A,,
Hà Nội,Thanh Trì,Tam Hiệp,Hà Nội,,Phường Tam Hiệp,,
Hà Nội,Thanh Trì,Tứ Hiệp,Hà Nội,,#N/A,,
Hà Nội,Thanh Trì,Yên Mỹ,Hà Nội,,Xã Chuyên Mỹ,,
Hà Nội,Thanh Trì,Vĩnh Quỳnh,Hà Nội,,#N/A,,
Hà Nội,Thanh Trì,Ngũ Hiệp,Hà Nội,,Xã Ngũ Hiệp,,
Hà Nội,Thanh Trì,Duyên Hà,Hà Nội,,#N/A,,
Hà Nội,Thanh Trì,Ngọc Hồi,Hà Nội,,Xã Ngọc Hồi,,
Hà Nội,Thanh Trì,Vạn Phúc,Hà Nội,,#N/A,,
Hà Nội,Thanh Trì,Đại áng,Hà Nội,,#N/A,,
Hà Nội,Thanh Trì,Liên Ninh,Hà Nội,,#N/A,,
Hà Nội,Thanh Trì,Đông Mỹ,Hà Nội,,#N/A,,
Hà Nội,Bắc Từ Liêm,Thượng Cát,Hà Nội,,Phường Thượng Cát,,
Hà Nội,Bắc Từ Liêm,Liên Mạc,Hà Nội,,#N/A,,
Hà Nội,Bắc Từ Liêm,Đông Ngạc,Hà Nội,,Phường Đông Ngạc,,
Hà Nội,Bắc Từ Liêm,Đức Thắng,Hà Nội,,#N/A,,
Hà Nội,Bắc Từ Liêm,Thụy Phương,Hà Nội,,#N/A,,
Hà Nội,Bắc Từ Liêm,Tây Tựu,Hà Nội,,Phường Tây Tựu,,
Hà Nội,Bắc Từ Liêm,Xuân Đỉnh,Hà Nội,,Phường Xuân Đỉnh,,
Hà Nội,Bắc Từ Liêm,Xuân Tảo,Hà Nội,,#N/A,,
Hà Nội,Bắc Từ Liêm,Minh Khai,Hà Nội,,Xã Minh Khai,,
Hà Nội,Bắc Từ Liêm,Cổ Nhuế 1,Hà Nội,,#N/A,,
Hà Nội,Bắc Từ Liêm,Cổ Nhuế 2,Hà Nội,,#N/A,,
Hà Nội,Bắc Từ Liêm,Phú Diễn,Hà Nội,,Phường Phú Diễn,,
Hà Nội,Bắc Từ Liêm,Phúc Diễn,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Thị trấn Chi Đông,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Đại Thịnh,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Kim Hoa,Hà Nội,,Xã Kim Hoa,,
Hà Nội,Mê Linh,Thạch Đà,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Tiến Thắng,Hà Nội,,Xã Tiến Thắng,,
Hà Nội,Mê Linh,Tự Lập,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Thị trấn Quang Minh,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Thanh Lâm,Hà Nội,,Xã Thanh Lâm,,
Hà Nội,Mê Linh,Tam Đồng,Hà Nội,,Xã Tam Đồng,,
Hà Nội,Mê Linh,Liên Mạc,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Vạn Yên,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Chu Phan,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Tiến Thịnh,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Mê Linh,Hà Nội,,Xã Mê Linh,,
Hà Nội,Mê Linh,Văn Khê,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Hoàng Kim,Hà Nội,,#N/A,,
Hà Nội,Mê Linh,Tiền Phong,Hà Nội,,Phường Tiền Phong,,
Hà Nội,Mê Linh,Tráng Việt,Hà Nội,,#N/A,,
Hà Nội,Hà Đông,Nguyễn Trãi,Hà Nội,,Xã Nguyễn Trãi,,
Hà Nội,Hà Đông,Mộ Lao,Hà Nội,,#N/A,,
Hà Nội,Hà Đông,Văn Quán,Hà Nội,,#N/A,,
Hà Nội,Hà Đông,Vạn Phúc,Hà Nội,,#N/A,,
Hà Nội,Hà Đông,Yết Kiêu,Hà Nội,,Xã Yết Kiêu,,
Hà Nội,Hà Đông,Quang Trung,Hà Nội,,Xã Quang Trung,,
Hà Nội,Hà Đông,La Khê,Hà Nội,,#N/A,,
Hà Nội,Hà Đông,Phú La,Hà Nội,,#N/A,,
Hà Nội,Hà Đông,Phúc La,Hà Nội,,#N/A,,
Hà Nội,Hà Đông,Hà Cầu,Hà Nội,,#N/A,,
Hà Nội,Hà Đông,Yên Nghĩa,Hà Nội,,Phường Yên Nghĩa,,
Hà Nội,Hà Đông,Kiến Hưng,Hà Nội,,Phường Kiến Hưng,,
Hà Nội,Hà Đông,Phú Lãm,Hà Nội,,#N/A,,
Hà Nội,Hà Đông,Phú Lương,Hà Nội,,Xã Phú Lương,,
Hà Nội,Hà Đông,Dương Nội,Hà Nội,,Phường Dương Nội,,
Hà Nội,Hà Đông,Đồng Mai,Hà Nội,,#N/A,,
Hà Nội,Hà Đông,Biên Giang,Hà Nội,,#N/A,,
Hà Nội,Thị xã Sơn Tây,Lê Lợi,Hà Nội,,Xã Lê Lợi,,
Hà Nội,Thị xã Sơn Tây,Phú Thịnh,Hà Nội,,Xã Phú Thịnh,,
Hà Nội,Thị xã Sơn Tây,Ngô Quyền,Hà Nội,,Phường Ngô Quyền,,
Hà Nội,Thị xã Sơn Tây,Quang Trung,Hà Nội,,Xã Quang Trung,,
Hà Nội,Thị xã Sơn Tây,Sơn Lộc,Hà Nội,,#N/A,,
Hà Nội,Thị xã Sơn Tây,Xuân Khanh,Hà Nội,,#N/A,,
Hà Nội,Thị xã Sơn Tây,Đường Lâm,Hà Nội,,#N/A,,
Hà Nội,Thị xã Sơn Tây,Viên Sơn,Hà Nội,,#N/A,,
Hà Nội,Thị xã Sơn Tây,Xuân Sơn,Hà Nội,,Xã Xuân Sơn,,
Hà Nội,Thị xã Sơn Tây,Trung Hưng,Hà Nội,,Xã Trung Hưng,,
Hà Nội,Thị xã Sơn Tây,Thanh Mỹ,Hà Nội,,Xã Thanh Mỹ,,
Hà Nội,Thị xã Sơn Tây,Trung Sơn Trầm,Hà Nội,,#N/A,,
Hà Nội,Thị xã Sơn Tây,Kim Sơn,Hà Nội,,Xã Kim Sơn,,
Hà Nội,Thị xã Sơn Tây,Sơn Đông,Hà Nội,,Xã Anh Sơn Đông,,
Hà Nội,Thị xã Sơn Tây,Cổ Đông,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Thị trấn Tây Đằng,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Phú Cường,Hà Nội,,Xã Phú Cường,,
Hà Nội,Ba Vì,Cổ Đô,Hà Nội,,Xã Cổ Đô,,
Hà Nội,Ba Vì,Tản Hồng,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Vạn Thắng,Hà Nội,,Xã Vạn Thắng,,
Hà Nội,Ba Vì,Châu Sơn,Hà Nội,,Xã Châu Sơn,,
Hà Nội,Ba Vì,Phong Vân,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Phú Đông,Hà Nội,,Xã Tân Phú Đông,,
Hà Nội,Ba Vì,Phú Phương,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Phú Châu,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Thái Hòa,Hà Nội,,Phường Thái Hòa,,
Hà Nội,Ba Vì,Đồng Thái,Hà Nội,,Xã Đồng Thái,,
Hà Nội,Ba Vì,Phú Sơn,Hà Nội,,Xã Phú Sơn Lâm Hà,,
Hà Nội,Ba Vì,Minh Châu,Hà Nội,,Xã Minh Châu,,
Hà Nội,Ba Vì,Vật Lại,Hà Nội,,Xã Vật Lại,,
Hà Nội,Ba Vì,Chu Minh,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Tòng Bạt,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Cẩm Lĩnh,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Sơn Đà,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Đông Quang,Hà Nội,,Xã Đông Quang,,
Hà Nội,Ba Vì,Tiên Phong,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Thụy An,Hà Nội,,Xã Bắc Thụy Anh,,
Hà Nội,Ba Vì,Cam Thượng,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Thuần Mỹ,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Tản Lĩnh,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Ba Trại,Hà Nội,,#N/A,,
Hà Nội,Ba Vì,Minh Quang,Hà Nội,,Xã Minh Quang,,
Hà Nội,Ba Vì,Ba Vì,Hà Nội,,Xã Ba Vì,,
Hà Nội,Ba Vì,Vân Hòa,Hà Nội,,Xã Vân Hòa,,
Hà Nội,Ba Vì,Yên Bài,Hà Nội,,Xã Yên Bài,,
Hà Nội,Ba Vì,Khánh Thượng,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Thị trấn Phúc Thọ,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Vân Hà,Hà Nội,,Xã Vân Hà,,
Hà Nội,Phúc Thọ,Vân Phúc,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Vân Nam,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Xuân Đình,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Sen Phương,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Võng Xuyên,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Thọ Lộc,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Long Xuyên,Hà Nội,,Phường Long Xuyên,,
Hà Nội,Phúc Thọ,Thượng Cốc,Hà Nội,,Xã Thượng Cốc,,
Hà Nội,Phúc Thọ,Hát Môn,Hà Nội,,Xã Hát Môn,,
Hà Nội,Phúc Thọ,Tích Giang,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Thanh Đa,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Trạch Mỹ Lộc,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Phúc Hòa,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Ngọc Tảo,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Phụng Thượng,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Tam Thuấn,Hà Nội,,#N/A,,
Hà Nội,Phúc Thọ,Tam Hiệp,Hà Nội,,Phường Tam Hiệp,,
